#张雪峰说考完研笔记别扔了#,Query time: 2023-12-24 18:26:05,likes,location,gender
对于考研人来说笔记太重要了，这些可都是我们日积月累出来的成果，不管最后上岸与否，笔记都见证了我们考研历程，知道我们付出了怎样的努力 ,2022-12-30 22:03,0,陕西 渭南,f
把笔记保存好本身就是一件好事，因为说明你这个人就比较的细心，而且以后还能拿出来回味 ,2022-12-30 22:03,0,云南 大理,f
我不会丢掉，拿出来还能够激励自己，想想当年有多么的努力，现在我也可以继续朝着自己的目标前进 ,2022-12-30 22:02,0,黑龙江 绥化,f
考研笔记本在我心中就是无价之宝的存在，虽然已经没有再考研了，但是我的努力都是记录在了笔记本之中 ,2022-12-30 22:02,0,北京,m
记笔记不仅仅是为了记知识，也是为了记时间，让我们感受到这一路走来的不易和努力 ,2022-12-30 22:02,0,北京,f
万一扔了笔记最后发现没考过，那就悲剧了，还是留着以备不时之需吧。 ,2022-12-30 22:02,0,浙江,f
无论考研成功没有，这对于我们来说都是努力过的见证，而且有一些同学还想要再战，也是有着很大的用处 ,2022-12-30 22:01,0,其他,f
考研调剂有什么要求？各个专业调剂的最新要求！考研调剂政策新变化！,2022-12-30 22:01,3,河北,f
我觉得吧这些笔记也是记录了我们的成长过程，而且也需要有东西来纪念 ,2022-12-30 22:01,0,西藏 林芝,m
说的挺有意思的啊!这些笔记也是记录了我们的成长过程，需要有东西来纪念也是很有意义的! ,2022-12-30 22:01,0,贵州,f
这个笔记真的是见证了我们一个努力奋斗的过程，所以说大家还是好好的收藏起来，不要随便丢了。 ,2022-12-30 22:01,0,四川 成都,f
笔记本上面的知识又不会过期，没有必要扔掉，很值得保留下来，说不定以后还能给自己的孩子看一看 ,2022-12-30 22:01,0,黑龙江,f
我连高中的书都留着呢，喜欢收藏这些自己学生时代的东西，总觉得那是我的青春。 ,2022-12-30 22:00,0,广东,f
作为一个考过研的人来说，这些笔记就算以后没什么用了，但是每次打开的时候都会回想起那一段努力过的岁月 ,2022-12-30 22:00,0,黑龙江,f
不仅是回忆啊，也是见证，重要的笔记可以留下，说不定哪天还用得上呢。 ,2022-12-30 22:00,1,其他,f
我觉得像这样的考研笔记还是不要丢掉的好，而且像我这种怀旧的人肯定是保留好了。 ,2022-12-30 22:00,0,四川 成都,f
虽然考完了想把它留下来，看看自己的努力痕迹哦!也是留个纪念！ ,2022-12-30 21:59,1,其他,f
这些考研笔记中记录的可都是宝贵的学习知识，考上研之后可能也会用到，我读研二的时候还翻出了我的考研笔记，一些知识点一直让我受益颇深 ,2022-12-30 21:59,0,其他,f
不知道别人怎么想的，反正考研笔记我是不会随便舍得丢掉的，以后拿出来也是一段美好的回忆。 ,2022-12-30 21:59,0,四川 成都,f
我真是太喜欢听张雪峰老师说话了，每一次，他讲的都头头是道的，而且特别有道理，这意思他说的考研笔记我觉得一定要好好的去珍藏了 ,2022-12-30 21:59,1,山西 临汾,f
就像张老师说的那样，笔记里有自己的学习方法做事态度等等，不能随便丢掉。 ,2022-12-30 21:59,0,上海 静安区,f
我是越来越爱听张雪峰老师的讲话了，他每次说话都是站在学生的立场考虑问题，给我们提供了很多有意义的指导 ,2022-12-30 21:59,1,山东,f
大家千万不要把自己的笔记给扔掉了，万一考不上的话，明年还能继续用，像我就是考了好几次才上岸成功 ,2022-12-30 21:58,0,江苏 南通,f
考研笔记时对我考研的一次见证，怎么样都不会扔的，毕竟是一点点努力出来的 ,2022-12-30 21:58,0,福建,f
怪不得人家可以成为专家，原来自己的笔记还有这么丰厚的价值呢，原来我从来都没有发现自己曾经记过的那一些东西之后会变成我的一笔财富 ,2022-12-30 21:58,1,辽宁,f
张雪峰老师总是能够提出一些非常有用的建议，他说考研笔记不要扔真的非常正确，我觉得笔记留下来还是很有用处的，以后的学习生活还可以用到 ,2022-12-30 21:58,0,其他,m
所以说人家的笔记记得都是学习方法，还有一些自己的思路，而我就是简单的去抄一些以后学到了，再考什么试，我一定会把自己的笔记整理好 ,2022-12-30 21:58,1,陕西,f
张雪峰老师说的很有道理啊，考研笔记真的很重要，我想应该大家也舍不得扔掉吧，好可惜的 ,2022-12-30 21:58,0,上海,m
对我来说挺重要的，所以不会随随便便就扔了，感觉这样太不值了。 ,2022-12-30 21:58,0,福建 福州,f
笔记记录了自己的思想成长，这一点我特别的赞同，感觉张雪峰是把握好了笔记的精髓，怪不得大家都想买一些他的笔记呢，果然里面记得都是一些很好的东西 ,2022-12-30 21:57,1,河北,f
我肯定会舍不得扔掉自己的笔记，毕竟是我浪费了很多很多支笔才留下来的，而且笔记简直就是我知识的积累，也是我思想觉悟的见证。 ,2022-12-30 21:57,0,浙江 嘉兴,f
曾经为了考研，我记了满满一整本的笔记，总结了非常多的知识点，就算以后用不到了，我觉得也不应该丢掉 ,2022-12-30 21:57,0,四川 宜宾,f
这个笔记是很有意义的东西，扔了多浪费，还是留着吧，以后还能温故而知新。 ,2022-12-30 21:57,0,海南 三亚,f
不得不说，现在很多人都会选择考研，所以我觉得大家一定不要把自己的笔记给扔掉，就算对自己没有任何需要了，可以留给那些有需要的人。 ,2022-12-30 21:57,0,湖北 十堰,f
考研笔记对我们这些考研的人来说意义非常大，很多人都会选择保留，因为这不仅是我们知识的积累，还是记忆的保留，保存着我们的考研记忆经历 ,2022-12-30 21:57,0,广东 广州,m
笔记不仅仅是记录的知识，也是一份记忆，相信大家经历过的人都会舍不得吧 ,2022-12-30 21:56,0,广西 桂林,f
就像张雪峰老师所说，知识是不会过期的，留给自己的弟弟妹妹，说不定可以派上用场，永远不缺考研的人 ,2022-12-30 21:56,0,黑龙江 绥化,f
哈哈哈哈哈想到我自己了，当时考完试之后，我没有把笔记给扔掉，因为我觉得我会二战，所以我当然会把笔记留下来呀。 ,2022-12-30 21:56,0,四川 遂宁,f
更想说的就是，很喜欢听张雪峰老师的讲话，也觉得这是一份很有意义的笔记 ,2022-12-30 21:56,0,广西,f
像我一个这么怀旧的人，这样的笔记肯定是舍不得扔掉的，以后拿出来也好，可以好好回忆一下。 ,2022-12-30 21:55,0,四川 成都,f
考完研之后我一直都舍不得丢弃的就是我的笔记，满满的笔记都是我的回忆和汗水，这些可都是我认真记的知识，考研的艰辛可都在这笔记当中了 ,2022-12-30 21:55,0,其他,m
谁会舍得扔掉自己的笔记呀？而且我每一次考完试，我都会把自己的笔记珍藏下来，毕竟那段岁月只有笔记才是我自己的见证人！ ,2022-12-30 21:55,0,广西 玉林,f
一直特别喜欢听张老师的课，我觉得不仅可以跟他学到很多的知识，而且也学到了很多的人生哲理，在笔记这一块儿，他也是拿捏到精髓了 ,2022-12-30 21:55,1,重庆,f
看到这样的考研笔记，真的是舍不得扔掉，因为以后拿出来也是一段美好的回忆。 ,2022-12-30 21:55,0,福建 南平,f
我要是考完了，也许大概应该也会选择留下来吧，毕竟是自己的付出和努力的，唯一留下来的念想了 ,2022-12-30 21:55,0,重庆,f
刚刚还正愁这些笔记应该怎么处理呢，现在张雪峰就给我提供了一个非常新的点子，怪不得大家都保存下来，不再扔自己写的东西呢！ ,2022-12-30 21:54,1,江西 萍乡,f
这些笔记也是记录了我们的成长过程，这一路的学习没有那么容易，才更需要有东西来纪念 ,2022-12-30 21:54,0,江西 九江,f
不知道别人怎么做的，反正我所有的笔记都整理的好好的收藏起来，不舍得扔掉。 ,2022-12-30 21:54,0,黑龙江 齐齐哈尔,f
一想到考研的那一段岁月我真的不想回忆，因为真的是一个人在慢慢的成长，自己面临很多挫折，也要自己解决，我的笔记我肯定舍不得扔。 ,2022-12-30 21:54,0,山西 运城,f
当然还是要完整的保存起来，毕竟这里边都是学习过的知识，说不定在以后就能够用到，知识的结晶和我们汗水的积累就蕴含在这小小的考研笔记中了 ,2022-12-30 21:54,0,其他,f
我的笔记从小到大都很多，但是一直都好好的保存起来了，现在堆着估计比我的人还要高 ,2022-12-30 21:54,0,安徽 宿州,f
考研笔记确实很重要的，毕竟学霸笔记都还有那么多人抢着要，自己心血还是要自己来留着嘛 ,2022-12-30 21:54,0,其他,m
当然是要好好的珍藏起来啦，听了张老师说的话之后，我相信没有人会把自己的笔记再一次扔掉吧，毕竟那都是我们的珍宝，已经努力了一年的成果呀… ,2022-12-30 21:54,1,安徽,f
可是我已经扔掉了😂就说这还是看个人的选择吧，实在不想保留的也没什么 ,2022-12-30 21:53,0,贵州 遵义,f
真的很有用啊千万别扔了本人现在就是后悔，非常后悔,2022-12-30 21:53,0,海外 斯洛文尼亚,f
看到这样的考研笔记，怎么可能舍得丢掉？每一段都是我们辛苦付出的努力。 ,2022-12-30 21:53,0,四川 成都,f
我觉得张雪峰老师说的太赞同了，其实笔记不仅仅是我们自己留下来的财富，也是我们思想上成长慢慢变成熟的一个见证吧！ ,2022-12-30 21:53,0,湖北 荆州,f
肯定不会扔啊，我还准备以后拿给我的娃看呢，让她知道我曾经是如何努力过。 ,2022-12-30 21:53,0,吉林,f
虽然我自己不太用笔记，但是考研的时候还是写了很多的，所以这些东西蛮重要的，不想扔掉 ,2022-12-30 21:53,0,山东 泰安,f
其实不管考研的结果是什么，但是这个过程我们会学习到很多，从笔记中就可以看出来我们的努力，保留下这份笔记用处还挺多的，以后还可以拿出来看一看 ,2022-12-30 21:53,0,广西,f
我相信很多考研的人也不会给自己的笔记扔了 ,2022-12-30 21:53,0,辽宁,f
我觉得现在很多笔记真的非常有用，而且能够给下一届考研的人，而且有一些学弟学妹们，我们学习相同的专业，可以留给他们用。 ,2022-12-30 21:53,0,江西 萍乡,f
不能扔，说不定明年还可以用上，当然最好还是不要用上，让我以后上岸了留作纪念，时不时的拿出来翻阅一下，看看当时我都经历了些什么~ ,2022-12-30 21:52,1,山东,f
姐妹们还是听一听张雪峰老师的建议吧，保留考研笔记真的非常有必要，在今后的学习生活中一定会凸显它的作用，而且也会让自己有一段美好的回忆 ,2022-12-30 21:52,0,广西,m
我还准备把笔记都去扔掉了呢，整理出来，没想到这么一说，好像也有道理，要不还是不扔了 ,2022-12-30 21:52,0,云南 昆明,f
那倒是，对我考研的每一天的印证,2022-12-30 21:52,0,陕西 西安,m
脚踏实地努力，一点一滴积累，生活会给你想要的回馈。晚安，好梦！ 【最美“雪人”！】12月27日，四川甘孜。民警辅警冒着大雪坚守岗位，及时疏通交通，保障群众出行安全。,2022-12-30 21:52,0,四川,m
我比较喜欢轻装上阵，之前用过的东西觉得没用了就断舍离，笔记也是考完就丢了，现在有点后悔。 ,2022-12-30 21:52,0,吉林,f
扔了还是挺可惜的，毕竟一点一滴都是我们慢慢积累出来的，考研道路非常的艰辛，笔记见证了我们的努力和汗水，偶尔拿出来看一看也是挺美好的 ,2022-12-30 21:51,0,广西,f
相比于回忆到那些痛苦的考研经历，我觉得这些笔记真的是我日积月累攒下来的财富，用一根一根笔换来的，真的舍不得扔掉！ ,2022-12-30 21:51,0,重庆,f
里面寄的可都是我的精华，不是随随便便抄的书本上的东西，我肯定不会扔的，听了张老师的话之后更坚信了这一点！ ,2022-12-30 21:51,1,内蒙古 赤峰,f
当然要好好的珍藏起来了，就像张老师说的那样，绝对不能把自己宝贵的笔记给扔了 ,2022-12-30 21:51,0,天津,m
考研笔记真的是我们大多数人非常重要的东西了，无论最后结果怎么样，我觉得都很有必要留下来 ,2022-12-30 21:51,0,其他,f
人家老师都是有一个非常优秀的习惯，记笔记也是如此，所以人家才会成功，所以我一定要向他们看齐，以后自己的精华都记在笔记上 ,2022-12-30 21:51,1,山东 临沂,f
我记得考前崩溃时看到写下的那么多笔记，说考完一定要扔的一页纸不剩，考完当天回到家看到自己一步步走来的时光，终究是一页纸也不舍得扔。 ,2022-12-30 21:51,0,内蒙古 包头,f
考研的时候我们留下最多的东西应该就是学习笔记了，我就像张雪峰老师建议的那样，笔记都没有扔，都是自己一点点积累出来的，舍不得丢弃 ,2022-12-30 21:51,0,其他,m
我的笔记反正都是记录了一些我努力的过程，而且有时候还写一些小日记，现在想起来我这一路真是太不容易了，所以我坚决不会把自己的笔记扔掉 ,2022-12-30 21:50,1,河南,f
就是如果今年没考好的话，明年还可以接着用呢,2022-12-30 21:50,0,福建,f
特别是很多学弟学妹们，他们都是学习相同的专业，可能对这个笔记有需要的，而且如果我们要上岸之后，真的可以把这个笔记留给其他人。 ,2022-12-30 21:50,0,贵州,f
这笔记不仅仅在于其本身的知识记录，还有青春回忆？我是舍不得扔了。 ,2022-12-30 21:50,0,湖南,f
我之前还在海鲜市场买过别人的笔记呢，人家记得是真正好，虽然我的没那么优秀吧，不过也不想扔了。 ,2022-12-30 21:50,0,福建,f
所以说人家的笔记记得都是学习方法，还有一些自己的思路，而我就是简单的去抄一些以后学到了，再考什么试，我一定会把自己的笔记整理好 ,2022-12-30 21:50,1,江西 吉安,f
张雪峰老师说的确实挺对的，现在考研就这么难，考研的辛苦付出和那些点点滴滴可能都包含在考研笔记里了 ,2022-12-30 21:50,0,广东,f
我们生活当中总是会有很多东西是无法割舍的，尤其是笔记就更是如此了，还是不要乱丢了 ,2022-12-30 21:50,0,江西,f
不得不说，很多考研的人他们考完试之后就把笔记给扔了，其实我觉得这是一个非常错误的选择，因为笔记对于我们而言一个非常重要的财富。 ,2022-12-30 21:49,0,贵州,f
我之前都有看过学姐的考研笔记，她也是告诉我，千万不要扔，留着万一以后有人也要看一下 ,2022-12-30 21:49,0,天津,m
全是电子笔记，过两年要是没学习goodnotes一卸载，谁还记得考研笔记 ,2022-12-30 21:49,0,福建 厦门,m
把笔记留下来当做纪念，也是一段回忆的好东西，以后再看到也能回忆起那个时候的自己有多艰辛，扔掉的话就什么都没有了 ,2022-12-30 21:49,0,河北 邢台,f
其实作为一位过来人，我还是建议大家向张雪峰老师说的那样，把自己的考研笔记给保留下来，有朝一日还能用的上，而且笔记中也有我们的青春回忆 ,2022-12-30 21:49,0,广西,m
对这个笔记可以说纪念意义是很大的了，毕竟这么长时间的努力都写成这笔记里面的一笔笔的知识。 ,2022-12-30 21:49,0,浙江 舟山,f
我觉得张雪峰老师可以说是我考研这段日子里面给我鼓励最大的老师，因为我觉得他每次说的话都能激励到我，我真的很赞同他说的话。 ,2022-12-30 21:49,0,浙江 台州,f
怪不得人家可以成为专家，原来自己的笔记还有这么丰厚的价值呢，原来我从来都没有发现自己曾经记过的那一些东西之后会变成我的一笔财富 ,2022-12-30 21:49,1,安徽 阜阳,f
我要是考研成功了，可能也会吧笔记送给学弟学妹吧，毕竟也都是我们辛辛苦苦的努力呀 ,2022-12-30 21:48,0,四川,f
也许我就考这么一次了，虽然不一定能考上，但是这份笔记我还是要留下来，感觉还是蛮有意义的呢。 ,2022-12-30 21:48,0,青海 海北,f
笔记我是真的一直都在保存着的了，里面有太多这段时间来自己努力的回忆了。 ,2022-12-30 21:48,0,江苏 南京,f
我一直都挺舍不得扔的，翻出考研笔记都会有无限的感慨，能够想到我当时写下每一句话的时候是如何努力的，算是对我青春的见证吧，是一段很有收获的经历 ,2022-12-30 21:48,0,广西,f
感觉考研笔记是付出了多少日日夜夜的成果，所以真的不忍心丢弃，会被我永远珍藏。 ,2022-12-30 21:48,0,浙江 丽水,f
不得不说，考研的那段岁月真的太苦了，但是能够看到自己的努力有回报的那一刻一切都值了。而且我觉得我们的笔记也可以留给需要的人。 ,2022-12-30 21:48,0,江苏 盐城,f
考完研我觉得一定要把笔记一定要保存，说不定哪天就用上呢。还可以拿出来看看。 ,2022-12-30 21:48,0,吉林,m
这么珍贵的考研笔记，怎么能扔呢？有的人根本就找不来，想借鉴一下都难 ,2022-12-30 21:48,0,天津,f
好快啊 该我了只能期末考试周过后开始了 是不是已经慢人一步了 ,2022-12-30 21:48,0,其他,f
考研的笔记我是肯定不会扔掉的，我觉得他也是陪我度过了一段时光。 ,2022-12-30 21:48,0,黑龙江,f
我觉得这些笔记都非常的有意义，也是陪伴我度过了我考研的漫长学习时期。 ,2022-12-30 21:47,0,新疆 喀什,f
就算自己考完了，这些笔记也别扔，万一以后别人要跟你借的时候，你也可以帮助到他们，真的很不错！ ,2022-12-30 21:47,0,其他,m
我真的太赞同张雪峰所说的这段话了，我能够感受到其实每个人都拥有自己的笔记，而且每个笔记都是我们日积月累的努力换来的。 ,2022-12-30 21:47,0,江苏 盐城,f
留着的话有机会既能对知识有一次思考，而且当自己需要的时候还是可以进行阅读调用。 ,2022-12-30 21:47,0,广东 中山,f
张雪峰是每一次的建议都特别有用，考研笔记保留下来不仅保留了一份回忆，也可以让自己的学弟学妹们借鉴参考，给他们的考研提供便利和帮助 ,2022-12-30 21:47,0,广西,f
相信当你老了看到学习笔记也是很棒，而且绝对不能扔掉，这是我们努力过的见证，也可以分享给别人 ,2022-12-30 21:47,0,云南,f
张老师这话有道理，我也觉得笔记的含义还是很深厚的，也是一份见证，不要随便就扔了。 ,2022-12-30 21:47,0,辽宁 阜新,f
其实我觉得考研之后完全不用把笔记扔掉，毕竟这是我们浓缩了所有专业书的精华，也是我们一笔一划写出来的 ,2022-12-30 21:47,0,北京 东城区,f
相信很多人应该都会好好的留着吧，毕竟哪天有用的时候想拿出来看也方便。 ,2022-12-30 21:46,0,江西 吉安,m
所以说人家的笔记记得都是学习方法，还有一些自己的思路，而我就是简单的去抄一些以后学到了，再考什么试，我一定会把自己的笔记整理好 ,2022-12-30 21:46,1,山东 菏泽,f
考研笔记对于考生来说不仅仅是结果的一种体现，更象征着我们一路走来的奋斗！考研笔记的多少从某种程度来说甚至决定了我们考研结果的成败努力的人不可能在复习的过程中“不着一字”，反过来说，一本本扎实的笔记代表着我们一年里奋斗和努力的结果，它们的意义早就超越了 考研笔记对于考生来说不仅仅是结果的一种体现，更象征着我们一路走来的奋斗！考研笔记的多少从某种程度来说甚至决定了我们考研结果的成败努力的人不可能在复习的过程中“不着一字”，反过来说，一本本扎实的笔记代表着我们一年里奋斗和努力的结果，它们的意义早就超越了笔记本身，是我们的汗水和智慧！无论考研的结果怎么样，我们的笔记本都不应该抛弃，当日后我们遇到更困难的时候，可以看看自己曾经的“壮举”，以此激励自己更加努力的向前！,2022-12-30 21:46,0,河南,m
笔记太多了我的都可以装一大箱子了，里面记得各科的笔记全部应有尽有，这个也是一笔宝贵的财 富。 ,2022-12-30 21:46,0,河北,m
青春纪念品怎么能随便扔了，实在是太多的话留下几本写得好的自己觉得以后还能翻的就好了。 ,2022-12-30 21:46,0,广东,f
考完研我觉得一定要把笔记给好好的保存，说不定哪天有遇到不明白的还可以拿出来看看。 ,2022-12-30 21:46,0,山东 济南,m
扔掉的话，其实就相当于这段时间的记忆都在脑子里了，没有什么东西能够证明 ,2022-12-30 21:46,0,河南 驻马店,f
23新传，24的有需要的可以滴滴我,2022-12-30 21:46,0,上海 黄浦区,f
考研笔记还有好多人拿出去卖呢，所以说怎么可能随随便便都扔了，那可是我是真的会心疼的 ,2022-12-30 21:46,0,四川,f
我觉得张雪峰老师说的挺有道理的，毕竟只有考研人才懂上岸多不容易，所以真的真的太可惜了，毕竟是自己的心血 ,2022-12-30 21:46,0,山东,f
笔记很重要的，以后对我们学习也有帮助，我们要学到老活到老，笔记也算是一个青春的记录吧。 ,2022-12-30 21:46,0,其他,f
考研笔记不仅对于自己有很大的用处，而且对于即将要面对考研的学弟学妹们也是非常有用的，我们可以把笔记分享一下,2022-12-30 21:46,0,黑龙江 哈尔滨,m
张雪峰老师太懂我们这些考研人了，我想大家都会把自己考研时候的学习笔记给保留下来，毕竟是自己一点点努力出来的结果，也算是见证了自己的考研 ,2022-12-30 21:46,0,其他,f
可是我没有记笔记的习惯，连回忆都没有 ,2022-12-30 21:46,0,辽宁,f
我觉得笔记就是证明你努力过的一种东西吧，所以留个纪念也没什么不好的，干嘛一定要扔掉呢？ ,2022-12-30 21:46,0,广西,f
那些做过的题读过的书，都是自己的财富，说不定在未来还能够给自己的孩子看一看，他父母多么优秀 ,2022-12-30 21:45,0,云南 曲靖,f
不会扔，等以后毕业某天你再次翻到的时候当时的场景和学习内容全都会在你脑子里重现。 ,2022-12-30 21:45,0,福建 三明,f
笔记记录了自己的思想成长，这一点我特别的赞同，感觉张雪峰是把握好了笔记的精髓，怪不得大家都想买一些他的笔记呢，果然里面记得都是一些很好的东西 ,2022-12-30 21:45,1,河南,f
就算自己不用笔记了，拿去借给别人也很好啊，现在的学弟学妹们还是蛮需要这种东西的 ,2022-12-30 21:45,0,山东,f
我觉得张雪峰说的挺对的，对于每一个考研的笔记都是对于我们学习的一个见证。 ,2022-12-30 21:45,0,河北 保定,f
考研笔记还有好多人拿出去卖呢，所以说怎么可能随随便便都扔了，那可是我是真的会心疼的 ,2022-12-30 21:45,0,四川,f
张老师的话真的是说到我的心坎里去了，等我考完以后的笔记，一定要好好的收藏起来 ,2022-12-30 21:45,0,天津,m
考完的时候差点把东西都丢了，后来理智告诉我还是留下来比较好，谁知道还需不需要二战呢,2022-12-30 21:45,0,其他,f
这些笔记也可以给我们的学弟学妹用啊！ ,2022-12-30 21:45,0,辽宁 葫芦岛,f
因为它会让我想起曾经最好年华里意气风发的我，或曾经满怀梦想和对生活的期待的我，对生活充满热情的我。 ,2022-12-30 21:45,0,上海,f
把笔记保存好你就会知道有多重要了，虽然现在用不上，但是以后总会有用上的时候 ,2022-12-30 21:45,0,山东,f
说实话每次看到我的考研笔记都能够让我回忆起那些青葱岁月，每次我劳累的时候就会翻一下这些笔记，能够重新燃起我对生活的希望和向前的一股劲儿 ,2022-12-30 21:44,0,其他,f
张雪峰说的很对啊，考研的点点滴滴是我们学习的努力换来的，所以看到笔记密密麻麻的字都是我们的学习方式 ,2022-12-30 21:44,0,北京 东城区,f
原来这笔记不能随便扔啊，话说回来，我的都可以装一大箱子了，里面记得各科的笔记全部应有尽有，有没有同学需要呀？我是真心不知道应该放在哪里了。 ,2022-12-30 21:44,1,山东 济宁,f
听完张老师说完了以后，我觉得真的得好好的收藏起来，不能扔掉 ,2022-12-30 21:44,0,上海,f
我太赞同这个说法了，有一句话说活到老，学到老，笔记里有太多知识了值得保存 ,2022-12-30 21:44,1,重庆,f
我之前的也是留着呢，这些都是努力的结果。张雪峰说的还是很有道理，我也是这么想的 ,2022-12-30 21:44,0,陕西,m
留着吧，在往后几十年的日子里，偶尔翻到它，肯定是更多美好的回忆和怀念，特别是日后人生必有挫折也磕碰，这些少年时的事物就更能给我鼓舞了 ,2022-12-30 21:44,0,广西,f
所以说要像张雪峰说的一样，考完研的笔记别扔，毕竟它们是非常有用的，尽管你不知道什么时候会用上它们！ ,2022-12-30 21:44,0,辽宁 大连,f
这个笔记真的可以作为自己这段时间努力以来一个很有纪念意义的东西呀，必须好好的保存了。 ,2022-12-30 21:44,0,江苏,f
把笔记保存好也是给自己一个复习的机会，万一什么时候要用也方便找啊，没必要扔掉 ,2022-12-30 21:44,0,北京,f
其实考研笔记确实是特别的珍贵，而且把这笔记丢了，我感觉我非常舍不得 ,2022-12-30 21:44,0,江苏 苏州,f
这话说的，一点儿毛病都没有，当然不能扔了，这可是我们考研辛辛苦苦记的笔记呀 ,2022-12-30 21:44,0,天津,f
这些笔记都是我考研岁月的证明，把自己的心血就这样丢掉的话，我也很心疼！对我来说他还是有意义的 ,2022-12-30 21:44,0,黑龙江,f
笔记就好像你毕业前和同学一起的照片吧，你不会不要，但开始你不会有什么特别的感受，但时间越久，你越是会好好珍藏它 ,2022-12-30 21:44,0,广西 南宁,f
我一直都觉得笔记是可以保存下来当做纪念的东西，所以不用扔掉吧，扔了好像挺可惜的 ,2022-12-30 21:44,0,贵州,f
笔记里的知识都是自己辛苦努力的成果，每一笔都很有意义，以后的时间或许也可以用到。 ,2022-12-30 21:43,0,天津,f
幸好还没丢，这么一说的话还挺有道理的，考研笔记太珍贵了，如果一下子丢了，自己也感觉可惜，而留下来虽然占点地方，但是没准会帮助自己的！,2022-12-30 21:43,0,香港,f
我觉得我的笔记都记得很详细，每次看到都能想起那个认真努力的自己，这也是一种警醒，当然要好好保留 ,2022-12-30 21:43,0,台湾 高雄市,f
不管上岸没有，那笔记里的一笔一划都是我努力的证明，所以我会留下来不丢掉。 ,2022-12-30 21:43,0,河南,f
听了张雪峰的一番话之后，我更加有动力了，在新的一年，我要把自己的笔记全部都整理好，整理好自己的思路，整理好自己的个人方法，准备好行囊再一次出发。 ,2022-12-30 21:43,1,河南 安阳,f
就喜欢段子型的张老师说教，不过看完这段视频，我以前身边真有学霸在考完试把笔记本都撕了，我问他为什么，他说都在脑子里了。。。如果是现在的话，真的大可不必，现在的平板多方便啊，屏幕大，性能好的一个平板就能把所做过的笔记都记录下来，就好比前一段发布的荣耀平板V8 就喜欢段子型的张老师说教，不过看完这段视频，我以前身边真有学霸在考完试把笔记本都撕了，我问他为什么，他说都在脑子里了。。。如果是现在的话，真的大可不必，现在的平板多方便啊，屏幕大，性能好的一个平板就能把所做过的笔记都记录下来，就好比前一段发布的荣耀平板V8 Pro就足够用了。,2022-12-30 21:43,0,辽宁 沈阳,m
留着也不在什么地方，我觉得有一天用到的时候也可以找得到，还是好好留着吧 ,2022-12-30 21:43,0,河南,f
张雪峰老师的话让我很有共鸣，我的考研笔记一直保留了三年，前两天还拿出来翻看了一下，果然还是回忆满满，又让我想到了自己考研时候的回忆 ,2022-12-30 21:43,1,黑龙江 佳木斯,f
反正对于我的话，我肯定是舍不得扔掉了，说不定哪次有用还可以拿出来看一看 ,2022-12-30 21:43,0,云南,f
那肯定不能扔啊，我觉得听完张老师的话，更不能扔了，这可是我们的成果呀 ,2022-12-30 21:43,0,天津,f
//:确实应该好好保留，这都是我们奋斗的痕迹。我虽然没考，直接上的，没有考研笔记，但我做笔记也是非常工整的，字写得还凑合，不过现在用电子设备，应该更方便了，你习惯用笔还是用平板记笔记？,2022-12-30 21:43,0,新疆,m
毕竟咱们现在都说活到老学到老，所以你把笔记丢掉了，不是很多东西以后忘了都不记得了吗？ ,2022-12-30 21:43,0,广东 清远,f
我觉得张雪峰老师说的很对，我们每个人的笔记都是我们日积月累攒下来的知识，而且我觉得也可以留给学弟学妹们。 ,2022-12-30 21:43,0,山东 济宁,f
我觉得笔记本本身就不应该丢，毕竟里面存着那份努力学习的心，留着还是有一定的纪念价值的。 ,2022-12-30 21:43,0,北京,f
对于我来说这样的笔记有特别的意义，所以说考研笔记必须好好的保存起来。 ,2022-12-30 21:43,0,安徽,f
每一个字都是我们一笔画写上去的，我觉得一定要好好的保存说也是一份对自己努力的见证 ,2022-12-30 21:42,0,上海 徐汇区,f
这个笔记里面记录的全部都是自己的美好回忆，肯定不可能说扔就扔了，一定会珍藏起来。 ,2022-12-30 21:42,0,安徽 芜湖,m
知识总是无价的嘛 考完研虽然说对自己是没有用 但是可以留下来 万一家里还有其他人需要用的时候 也可以参考一下笔记,2022-12-30 21:42,0,海外 澳大利亚,f
有没有可能我明年还会再拿出来但是我花了那么多的心血在上面，当然舍不得就这样扔啦 ,2022-12-30 21:42,0,四川 成都,f
太赞同这个了，有一句话说活到老，学到老，笔记里面的知识还是很有用的。 ,2022-12-30 21:42,0,浙江 舟山,f
已经换成钱了（卖破烂） ,2022-12-30 21:42,1,安徽,f
张雪峰说的太对了，这可是我们以前所有的战绩，上面记录的都是我们奋斗的过程，怎么可以说扔就扔呢？ ,2022-12-30 21:42,0,其他,f
每个人对笔记的想法肯定都是不一样的，所以只要按照自己的想法去做就可以了，扔不扔都行 ,2022-12-30 21:42,0,江西 赣州,f
对于这些笔记的话，我觉得真的是非常的有意义，一定要好好的留着，说不定有人有用呢 ,2022-12-30 21:42,0,江苏 南通,f
我还是比较喜欢念旧的，之前上学的时候很多东西现在都留下来了，考研笔记当然也留着呢。 ,2022-12-30 21:42,0,其他,f
笔记真的是特别重要的呀，在考完试把这些笔记都扔掉的话，那真是特别浪费！ ,2022-12-30 21:42,0,陕西 安康,f
